	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2012 03 20	7.184
2012 03 21	5.854
2012 03 22	9.028
2012 03 23	17.046
2012 03 24	15.259
2012 03 25	18.463
2012 03 26	17.389
2012 03 27	16.293
2012 03 28	18.359
2012 03 29	5.515
2012 03 30	5.226
2012 03 31	9.338
2012 04 01	10.872
2012 04 02	5.778
2012 04 03	7.426
2012 04 04	5.540
2012 04 05	5.602
2012 04 06	5.664
2012 04 07	9.621
2012 04 08	15.612
2012 04 09	6.354
2012 04 10	7.183
2012 04 11	6.096
2012 04 12	9.126
2012 04 13	11.020
2012 04 14	13.979
2012 04 15	14.211
2012 04 16	17.789
2012 04 17	20.645
2012 04 18	10.109
2012 04 19	20.420
2012 04 20	13.488
2012 04 21	14.657
2012 04 22	13.143
2012 04 23	20.428
2012 04 24	7.803
2012 04 25	14.185
2012 04 26	6.951
2012 04 27	15.731
2012 04 28	22.209
2012 04 29	15.755
2012 04 30	21.992
2012 05 01	24.824
2012 05 02	26.267
2012 05 03	12.951
2012 05 04	15.846
2012 05 05	7.252
2012 05 06	7.582
2012 05 07	7.484
2012 05 08	22.313
2012 05 09	13.303
2012 05 10	14.936
2012 05 11	14.703
2012 05 12	20.951
2012 05 13	14.542
2012 05 14	25.904
2012 05 15	10.415
2012 05 16	19.293
2012 05 17	24.126
2012 05 18	20.547
2012 05 19	16.845
2012 05 20	26.513
2012 05 21	20.277
2012 05 22	24.635
2012 05 23	25.397
2012 05 24	29.288
2012 05 25	30.922
2012 05 26	27.733
2012 05 27	23.373
2012 05 28	26.458
2012 05 29	23.700
2012 05 30	12.340
2012 05 31	8.572
2012 06 01	13.977
2012 06 02	18.353
2012 06 03	8.337
2012 06 04	13.450
2012 06 05	14.021
2012 06 06	8.964
2012 06 07	13.599
2012 06 08	22.687
2012 06 09	24.452
2012 06 10	22.413
2012 06 11	14.484
2012 06 12	13.618
2012 06 13	15.878
2012 06 14	9.034
2012 06 15	12.161
2012 06 16	8.615
2012 06 17	25.697
2012 06 18	26.070
2012 06 19	18.580
2012 06 20	8.338
2012 06 21	8.336
2012 06 22	25.001
2012 06 23	22.508
2012 06 24	12.505
2012 06 25	12.228
2012 06 26	11.810
2012 06 27	11.808
2012 06 28	22.898
2012 06 29	16.979
2012 06 30	21.655
2012 07 01	14.027
2012 07 02	12.612
2012 07 03	12.603
2012 07 04	24.587
2012 07 05	10.318
2012 07 06	17.228
2012 07 07	14.227
2012 07 08	19.888
2012 07 09	20.296
2012 07 10	20.277
2012 07 11	12.466
2012 07 12	19.382
2012 07 13	9.726
2012 07 14	12.248
2012 07 15	16.747
2012 07 16	17.704
2012 07 17	14.418
2012 07 18	12.547
2012 07 19	14.205
2012 07 20	19.664
2012 07 21	14.267
2012 07 22	22.757
2012 07 23	27.381
2012 07 24	28.233
2012 07 25	24.307
2012 07 26	26.695
2012 07 27	25.785
2012 07 28	16.968
2012 07 29	13.723
2012 07 30	17.535
2012 07 31	16.366
2012 08 01	24.133
2012 08 02	14.018
2012 08 03	14.386
2012 08 04	20.996
2012 08 05	11.792
2012 08 06	12.829
