	3:Selke	(Abfluss)	DAILY								
	nodata	-9999									
	n	1	measurements	per	day	"[1,"	1440]				
	start	1993	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
YYYY	MM	DD	HH	NN	IN						
1994	9	17	0	0	-9999						
1994	9	18	0	0	-9999						
1994	9	19	0	0	-9999						
1994	9	20	0	0	-9999						
1994	9	21	0	0	-9999						
1994	9	22	0	0	0.96						
1994	9	23	0	0	-9999						
1994	9	24	0	0	-9999						
1994	9	25	0	0	-9999						
1994	9	26	0	0	-9999						
1994	9	27	0	0	-9999						
1994	9	28	0	0	-9999						
1994	9	29	0	0	-9999						
1994	9	30	0	0	-9999						
1994	10	1	0	0	-9999						
1994	10	2	0	0	-9999						
1994	10	3	0	0	-9999						
1994	10	4	0	0	-9999						
1994	10	5	0	0	-9999						
1994	10	6	0	0	-9999						
1994	10	7	0	0	-9999						
1994	10	8	0	0	-9999						
1994	10	9	0	0	-9999						
1994	10	10	0	0	-9999						
1994	10	11	0	0	-9999						
1994	10	12	0	0	-9999						
1994	10	13	0	0	-9999						
1994	10	14	0	0	-9999						
1994	10	15	0	0	-9999						
1994	10	16	0	0	-9999						
1994	10	17	0	0	-9999						
1994	10	18	0	0	-9999						
1994	10	19	0	0	-9999						
1994	10	20	0	0	-9999						
1994	10	21	0	0	-9999						
1994	10	22	0	0	-9999						
1994	10	23	0	0	-9999						
1994	10	24	0	0	-9999						
1994	10	25	0	0	-9999						
1994	10	26	0	0	-9999						
1994	10	27	0	0	-9999						
1994	10	28	0	0	-9999						
1994	10	29	0	0	-9999						
1994	10	30	0	0	-9999						
1994	10	31	0	0	-9999						
1994	11	1	0	0	-9999						
1994	11	2	0	0	-9999						
1994	11	3	0	0	-9999						
1994	11	4	0	0	-9999						
1994	11	5	0	0	-9999						
1994	11	6	0	0	-9999						
1994	11	7	0	0	-9999						
1994	11	8	0	0	-9999						
1994	11	9	0	0	-9999						
1994	11	10	0	0	-9999						
1994	11	11	0	0	-9999						
1994	11	12	0	0	-9999						
1994	11	13	0	0	-9999						
1994	11	14	0	0	0.56						
1994	11	15	0	0	-9999						
1994	11	16	0	0	-9999						
1994	11	17	0	0	-9999						
1994	11	18	0	0	-9999						
1994	11	19	0	0	-9999						
1994	11	20	0	0	-9999						
1994	11	21	0	0	-9999						
1994	11	22	0	0	-9999						
1994	11	23	0	0	-9999						
1994	11	24	0	0	-9999						
1994	11	25	0	0	-9999						
1994	11	26	0	0	-9999						
1994	11	27	0	0	-9999						
1994	11	28	0	0	-9999						
1994	11	29	0	0	-9999						
1994	11	30	0	0	-9999						
1994	12	1	0	0	-9999						
1994	12	2	0	0	-9999						
1994	12	3	0	0	-9999						
1994	12	4	0	0	-9999						
1994	12	5	0	0	-9999						
1994	12	6	0	0	-9999						
1994	12	7	0	0	-9999						
1994	12	8	0	0	-9999						
1994	12	9	0	0	-9999						
1994	12	10	0	0	-9999						
1994	12	11	0	0	-9999						
1994	12	12	0	0	-9999						
1994	12	13	0	0	-9999						
1994	12	14	0	0	-9999						
1994	12	15	0	0	-9999						
1994	12	16	0	0	-9999						
1994	12	17	0	0	-9999						
1994	12	18	0	0	-9999						
1994	12	19	0	0	-9999						
1994	12	20	0	0	-9999						
1994	12	21	0	0	-9999						
1994	12	22	0	0	-9999						
1994	12	23	0	0	-9999						
1994	12	24	0	0	-9999						
1994	12	25	0	0	-9999						
1994	12	26	0	0	-9999						
1994	12	27	0	0	-9999						
1994	12	28	0	0	-9999						
1994	12	29	0	0	-9999						
1994	12	30	0	0	-9999						
1994	12	31	0	0	-9999						
1995	1	1	0	0	-9999						
1995	1	2	0	0	-9999						
